riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs1325154-C	5E-6	"(later onset)"	NR	-	-	-	-	"Attention deficit hyperactivity disorder (time to onset)"	"attention deficit hyperactivity disorder"	-	GCST000280	9:12582565	18937294	"Lasky-Su J"
rs806276-A	3E-7	"(later onset)"	NR	-	-	-	MAP3K7	"Attention deficit hyperactivity disorder (time to onset)"	"attention deficit hyperactivity disorder"	-	GCST000280	6:90497632	18937294	"Lasky-Su J"
rs10039254-A	8E-6	"(later onset)"	NR	-	-	-	ADAMTS2	"Attention deficit hyperactivity disorder (time to onset)"	"attention deficit hyperactivity disorder"	-	GCST000280	5:179143913	18937294	"Lasky-Su J"
rs6119286-A	4E-6	-	NR	-	-	-	DNMT3B	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	20:32807671	23527680	"Ebejer JL"
rs6057659-A	5E-6	-	NR	-	-	-	MAPRE1,EFCAB8	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	20:32857341	23527680	"Ebejer JL"
rs17123726-A	5E-6	-	NR	-	-	-	EFCAB8	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	20:32859562	23527680	"Ebejer JL"
rs4708431-A	7E-6	-	NR	-	-	-	FRMD1	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	6:168083405	23527680	"Ebejer JL"
rs910191-A	2E-6	-	NR	-	-	-	LINC00494,RNU7-144P	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	20:48460486	23527680	"Ebejer JL"
rs11681930-A	5E-6	-	NR	-	-	-	PARD3B	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	2:205198574	23527680	"Ebejer JL"
rs2110267-C	6E-6	-	NR	-	-	-	DPP6	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	7:153838604	23527680	"Ebejer JL"
rs11994034-T	7E-6	-	NR	-	-	-	MSC-AS1	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	8:72158500	23527680	"Ebejer JL"
rs9364220-A	7E-6	-	NR	-	-	-	FRMD1	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	6:168089888	23527680	"Ebejer JL"
rs4458264-T	3E-6	-	NR	-	-	-	RNU7-144P,LINC00494	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	20:48461291	23527680	"Ebejer JL"
rs4402823-T	3E-6	-	NR	-	-	-	LINC00494,RNU7-144P	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	20:48461279	23527680	"Ebejer JL"
rs4810796-A	3E-6	-	NR	-	-	-	LINC00494,RNU7-144P	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	20:48459954	23527680	"Ebejer JL"
rs13043694-A	3E-6	-	NR	-	-	-	LINC00494,RNU7-144P	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	20:48459908	23527680	"Ebejer JL"
rs6057648-A	4E-6	-	NR	-	-	-	DNMT3B	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	20:32797074	23527680	"Ebejer JL"
rs6119285-T	4E-6	-	NR	-	-	-	DNMT3B	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	20:32789189	23527680	"Ebejer JL"
rs6057651-A	4E-6	-	NR	-	-	-	MAPRE1	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	20:32822531	23527680	"Ebejer JL"
rs6057652-A	4E-6	-	NR	-	-	-	MAPRE1	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	20:32832003	23527680	"Ebejer JL"
rs7270085-A	4E-6	-	NR	-	-	-	MAPRE1	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	20:32849801	23527680	"Ebejer JL"
rs8123073-A	5E-6	-	NR	-	-	-	EFCAB8	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	20:32859052	23527680	"Ebejer JL"
rs10153620-C	6E-6	-	NR	-	-	-	PARD3B	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	2:205195913	23527680	"Ebejer JL"
rs6983777-A	8E-6	-	NR	-	-	-	MTCO2P4,LINC01181	"Attention deficit hyperactivity disorder (combined symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001931	8:103106338	23527680	"Ebejer JL"
rs6758152-T	3E-6	-	NR	-	-	-	LINC01965	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	2:104051280	23527680	"Ebejer JL"
rs7164923-T	5E-6	-	NR	-	-	-	PWRN4,RNU6-741P	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	15:23817768	23527680	"Ebejer JL"
rs6947495-A	1E-6	-	NR	-	-	-	DPP6	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	7:153855979	23527680	"Ebejer JL"
rs4458264-T	3E-6	-	NR	-	-	-	RNU7-144P,LINC00494	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	20:48461291	23527680	"Ebejer JL"
rs4402823-T	3E-6	-	NR	-	-	-	LINC00494,RNU7-144P	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	20:48461279	23527680	"Ebejer JL"
rs13043694-A	3E-6	-	NR	-	-	-	LINC00494,RNU7-144P	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	20:48459908	23527680	"Ebejer JL"
rs11903187-A	4E-6	-	NR	-	-	-	LINC01965	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	2:103972680	23527680	"Ebejer JL"
rs12613775-T	4E-6	-	NR	-	-	-	LINC01965	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	2:103964045	23527680	"Ebejer JL"
rs7722425-T	5E-6	-	NR	-	-	-	CCDC192	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	5:127790070	23527680	"Ebejer JL"
rs12523164-T	6E-6	-	NR	-	-	-	CCDC192	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	5:127726279	23527680	"Ebejer JL"
rs4835929-T	7E-6	-	NR	-	-	-	CCDC192	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	5:127718586	23527680	"Ebejer JL"
rs6057651-A	7E-6	-	NR	-	-	-	MAPRE1	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	20:32822531	23527680	"Ebejer JL"
rs2110267-C	5E-7	-	NR	-	-	-	DPP6	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	7:153838604	23527680	"Ebejer JL"
rs910191-A	2E-6	-	NR	-	-	-	LINC00494,RNU7-144P	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	20:48460486	23527680	"Ebejer JL"
rs1515641-A	4E-6	-	NR	-	-	-	CCDC192	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	5:127803924	23527680	"Ebejer JL"
rs2192271-T	1E-6	-	NR	-	-	-	DPP6	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	7:153852211	23527680	"Ebejer JL"
rs12671878-A	1E-6	-	NR	-	-	-	DPP6	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	7:153861864	23527680	"Ebejer JL"
rs4810796-A	3E-6	-	NR	-	-	-	LINC00494,RNU7-144P	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	20:48459954	23527680	"Ebejer JL"
rs2119507-T	4E-6	-	NR	-	-	-	LINC01965	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	2:103956547	23527680	"Ebejer JL"
rs10193430-A	4E-6	-	NR	-	-	-	LINC01965	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	2:103970893	23527680	"Ebejer JL"
rs1036736-T	4E-6	-	NR	-	-	-	LINC01965	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	2:103962075	23527680	"Ebejer JL"
rs10463833-A	5E-6	-	NR	-	-	-	CUL1P1,CCDC192	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	5:127786620	23527680	"Ebejer JL"
rs10463832-A	5E-6	-	NR	-	-	-	CCDC192	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	5:127774794	23527680	"Ebejer JL"
rs12513840-A	7E-6	-	NR	-	-	-	CCDC192	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	5:127724250	23527680	"Ebejer JL"
rs6057652-A	7E-6	-	NR	-	-	-	MAPRE1	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001944	20:32832003	23527680	"Ebejer JL"
rs12919130-A	2E-6	-	NR	-	-	-	GPR139	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	16:20115652	23527680	"Ebejer JL"
rs11687420-A	4E-6	-	NR	-	-	-	TEX41,RPL6P5	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	2:145287997	23527680	"Ebejer JL"
rs9364220-A	6E-6	-	NR	-	-	-	FRMD1	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	6:168089888	23527680	"Ebejer JL"
rs12596252-A	3E-6	-	NR	-	-	-	GPR139	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	16:20045671	23527680	"Ebejer JL"
rs1902813-C	3E-6	-	NR	-	-	-	GPR139	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	16:20046339	23527680	"Ebejer JL"
rs12926725-T	3E-6	-	NR	-	-	-	GPR139	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	16:20048355	23527680	"Ebejer JL"
rs1822881-A	4E-6	-	NR	-	-	-	TEX41,RPL6P5	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	2:145286484	23527680	"Ebejer JL"
rs12931939-T	6E-6	-	NR	-	-	-	GPR139	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	16:20049508	23527680	"Ebejer JL"
rs6497436-T	6E-6	-	NR	-	-	-	GPR139	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	16:20112193	23527680	"Ebejer JL"
rs2608200-A	6E-6	-	NR	-	-	-	GPR139	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	16:20110968	23527680	"Ebejer JL"
rs11642377-A	7E-6	-	NR	-	-	-	GPR139	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	16:20098331	23527680	"Ebejer JL"
rs7448069-T	1E-6	-	NR	-	-	-	CPLX2	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	5:175817031	23527680	"Ebejer JL"
rs12926729-A	7E-6	-	NR	-	-	-	GPR139	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	16:20089048	23527680	"Ebejer JL"
rs11647507-A	7E-6	-	NR	-	-	-	GPR139	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	16:20084306	23527680	"Ebejer JL"
rs10180522-A	7E-6	-	NR	-	-	-	RPL6P5,TEX41	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	2:145314285	23527680	"Ebejer JL"
rs12924103-T	7E-6	-	NR	-	-	-	GPR139	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	16:20083224	23527680	"Ebejer JL"
rs10521115-A	8E-6	-	NR	-	-	-	GPR139	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	16:20079323	23527680	"Ebejer JL"
rs13407123-T	8E-6	-	NR	-	-	-	RPL6P5,TEX41	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	2:145335188	23527680	"Ebejer JL"
rs7185264-A	7E-6	-	NR	-	-	-	GPR139	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	16:20083564	23527680	"Ebejer JL"
rs7201408-A	7E-6	-	NR	-	-	-	GPR139	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	16:20082732	23527680	"Ebejer JL"
rs10521114-A	8E-6	-	NR	-	-	-	GPR139	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	16:20078432	23527680	"Ebejer JL"
rs13006237-A	9E-6	-	NR	-	-	-	ELOAP1,PSMD14P1	"Attention deficit hyperactivity disorder (inattention symptoms)"	"attention deficit hyperactivity disorder"	-	GCST001943	2:123757465	23527680	"Ebejer JL"
rs5016282-A	1E-6	-	NR	-	-	-	GRM5	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST001287	11:89008492	22012869	"Hinney A"
rs2556378-T	7E-6	-	NR	-	-	-	BCL11A	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST001287	2:60535367	22012869	"Hinney A"
rs12575642-?	1E-6	-	NR	-	-	-	FERMT3	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST001154	11:64212171	21784300	"Mick E"
rs11607165-?	4E-6	-	NR	-	-	-	STIP1	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST001154	11:64196475	21784300	"Mick E"
rs11778329-?	7E-6	-	NR	-	-	-	UBE2V2	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST001154	8:48140605	21784300	"Mick E"
rs10858396-?	6E-6	-	NR	-	-	-	C9orf62,SOCS5P2	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST001154	9:135383930	21784300	"Mick E"
rs1059440-?	4E-6	-	NR	-	-	-	TRPT1	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST001154	11:64224329	21784300	"Mick E"
rs12037173-?	4E-6	-	NR	-	-	-	LRRC7	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST001154	1:69890298	21784300	"Mick E"
rs797820-?	8E-6	-	NR	-	-	-	SEMA3A	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST001154	7:83979723	21784300	"Mick E"
rs1979398-?	3E-6	-	NR	1.23	-	[NR]	ITGA1	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST004778	5:52898497	28809852	"Liu L"
rs7511800-T	7E-11	-	0.31	0.91	-	[0.89-0.93]	ST3GAL3	"Attention deficit hyperactivity disorder (childhood)"	"attention deficit hyperactivity disorder"	-	GCST90137499	1:43748598	35927488	"Rajagopal VM"
rs12653396-T	2E-11	-	0.42	0.91	-	[0.89-0.93]	LINC00461	"Attention deficit hyperactivity disorder (childhood)"	"attention deficit hyperactivity disorder"	-	GCST90137499	5:88551455	35927488	"Rajagopal VM"
rs28718037-A	9E-9	-	0.33	0.92	-	[0.9-0.94]	DCC	"Attention deficit hyperactivity disorder (childhood)"	"attention deficit hyperactivity disorder"	-	GCST90137499	18:53046327	35927488	"Rajagopal VM"
rs6035830-C	2E-9	-	0.28	1.1	-	[1.08-1.12]	XRN2,ZNF877P	"Attention deficit hyperactivity disorder (childhood)"	"attention deficit hyperactivity disorder"	-	GCST90137499	20:21285090	35927488	"Rajagopal VM"
rs1229758-G	2E-8	-	0.43	0.9	-	[0.88-0.92]	FOXP2	"Attention deficit hyperactivity disorder (late-diagnosed)"	"attention deficit hyperactivity disorder"	-	GCST90137501	7:114589084	35927488	"Rajagopal VM"
rs58502974-A	2E-8	-	0.44	1.13	-	[NR]	ADCY2	"Bipolar disorder (age of onset <21) or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004002	5:7755787	27890468	"van Hulzen KJE"
rs1334489-?	7E-6	-	NR	-	-	-	SLC35F1	"Bipolar disorder (age of onset <21) or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004002	6:118318224	27890468	"van Hulzen KJE"
rs2134095-?	7E-6	-	NR	-	-	-	RXRG	"Bipolar disorder (age of onset <21) or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004002	1:165408315	27890468	"van Hulzen KJE"
rs16998572-?	8E-6	-	NR	-	-	-	SUMO1P1,BCAS1	"Bipolar disorder (age of onset <21) or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004002	20:53935345	27890468	"van Hulzen KJE"
rs11162556-?	2E-6	-	NR	-	-	-	ADGRL4	"Bipolar disorder (age of onset <21) or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004002	1:78795698	27890468	"van Hulzen KJE"
rs12761122-?	4E-6	-	NR	-	-	-	LINC02626,TRUB1	"Bipolar disorder (age of onset <21) or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004002	10:114993789	27890468	"van Hulzen KJE"
rs7089973-C	2E-8	-	0.74	1.1111112	-	[NR]	TAF9BP2	"Bipolar disorder or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004001	10:114809806	27890468	"van Hulzen KJE"
rs11756438-A	4E-8	-	0.34	1.1	-	[NR]	CEP85L	"Bipolar disorder or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004001	6:118672469	27890468	"van Hulzen KJE"
rs34096808-?	1E-7	-	NR	-	-	-	NLGN1	"Bipolar disorder or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004001	3:173822316	27890468	"van Hulzen KJE"
rs58502974-?	1E-7	-	NR	-	-	-	ADCY2	"Bipolar disorder or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004001	5:7755787	27890468	"van Hulzen KJE"
rs10489744-?	2E-7	-	NR	-	-	-	RXRG	"Bipolar disorder or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004001	1:165411386	27890468	"van Hulzen KJE"
rs9608816-?	6E-7	-	NR	-	-	-	ASCC2	"Bipolar disorder or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004001	22:29820911	27890468	"van Hulzen KJE"
rs16998572-?	8E-7	-	NR	-	-	-	SUMO1P1,BCAS1	"Bipolar disorder or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004001	20:53935345	27890468	"van Hulzen KJE"
rs36030485-?	9E-7	-	NR	-	-	-	VLDLR-AS1	"Bipolar disorder or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004001	9:2411646	27890468	"van Hulzen KJE"
rs11162556-?	4E-7	-	NR	-	-	-	ADGRL4	"Bipolar disorder or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004001	1:78795698	27890468	"van Hulzen KJE"
rs56037433-?	9E-7	-	NR	-	-	-	SLC4A10	"Bipolar disorder or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004001	2:161719475	27890468	"van Hulzen KJE"
rs71420669-?	9E-7	-	NR	-	-	-	-	"Bipolar disorder or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004001	2:194986941	27890468	"van Hulzen KJE"
rs13061878-?	8E-7	-	NR	-	-	-	PTPRG	"Bipolar disorder or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004001	3:61634560	27890468	"van Hulzen KJE"
rs1334489-?	6E-8	-	NR	-	-	-	SLC35F1	"Bipolar disorder or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004001	6:118318224	27890468	"van Hulzen KJE"
rs12661338-?	5E-7	-	NR	-	-	-	CEP85L	"Bipolar disorder or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004001	6:118473527	27890468	"van Hulzen KJE"
rs968847-?	3E-7	-	NR	-	-	-	LINC02626,ATRNL1	"Bipolar disorder or attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,bipolar disorder"	-	GCST004001	10:114998320	27890468	"van Hulzen KJE"
rs7118422-T	3E-10	-	0.51	1.173	-	[1.12-1.22]	STIM1	"Disruptive behavior disorder and attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,mental or behavioural disorder"	-	GCST012098	11:3912065	33495439	"Demontis D"
rs549845-G	2E-7	-	0.3	1.147	-	[1.1-1.2]	PTPRF	"Disruptive behavior disorder and attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,mental or behavioural disorder"	-	GCST012098	1:43610798	33495439	"Demontis D"
rs11982272-T	3E-7	-	0.78	1.179	-	[1.12-1.24]	MAD1L1	"Disruptive behavior disorder and attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,mental or behavioural disorder"	-	GCST012098	7:1931130	33495439	"Demontis D"
rs2025758-?	5E-18	-	NR	-	-	-	RNA5SP299,LINC02676	"Asthma and attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,asthma"	-	GCST008919	10:8799706	31619474	"Zhu Z"
rs7094182-?	5E-12	-	NR	-	-	-	KRT8P37	"Asthma and attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,asthma"	-	GCST008919	10:8484656	31619474	"Zhu Z"
rs325485-?	2E-8	-	NR	-	-	-	RNU6-334P,LINC02163	"Asthma and attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,asthma"	-	GCST008919	5:104659667	31619474	"Zhu Z"
rs227283-?	3E-8	-	NR	-	-	-	MANBA	"Asthma and attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,asthma"	-	GCST008919	4:102686096	31619474	"Zhu Z"
rs3117006-?	3E-8	-	NR	-	-	-	HLA-DPB2	"Asthma and attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,asthma"	-	GCST008919	6:33128931	31619474	"Zhu Z"
rs6736411-?	3E-8	-	NR	-	-	-	WDPCP	"Asthma and attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,asthma"	-	GCST008919	2:63446926	31619474	"Zhu Z"
rs71565398-?	4E-8	-	NR	-	-	-	ITPR3	"Asthma and attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder,asthma"	-	GCST008919	6:33633953	31619474	"Zhu Z"
rs74760947-G	2E-10	-	NR	1.1904762	-	[1.14-1.27]	RPL10AP3,LINC01288	"Attention deficit hyperactivity disorder or cannabis use"	"attention deficit hyperactivity disorder,Cannabis use"	-	GCST006983	8:34495092	30610198	"Soler Artigas M"
rs76545266-C	2E-8	-	NR	1.1764705	-	[1.11-1.25]	RPL10AP3	"Attention deficit hyperactivity disorder or cannabis use"	"attention deficit hyperactivity disorder,Cannabis use"	-	GCST006983	8:34224003	30610198	"Soler Artigas M"
rs113551349-C	5E-10	-	NR	1.098901	-	[1.08-1.14]	SLC6A9	"Attention deficit hyperactivity disorder or cannabis use"	"attention deficit hyperactivity disorder,Cannabis use"	-	GCST006983	1:44009451	30610198	"Soler Artigas M"
rs797267-G	4E-9	-	NR	1.098901	-	[1.06-1.12]	POC1B,DUSP6	"Attention deficit hyperactivity disorder or cannabis use"	"attention deficit hyperactivity disorder,Cannabis use"	-	GCST006983	12:89373460	30610198	"Soler Artigas M"
rs11210887-G	3E-11	-	NR	1.0869565	-	[1.06-1.11]	PTPRF	"Attention deficit hyperactivity disorder or cannabis use"	"attention deficit hyperactivity disorder,Cannabis use"	-	GCST006983	1:43610348	30610198	"Soler Artigas M"
rs56319043-C	4E-9	-	NR	1.0869565	-	[1.05-1.11]	KDM4A-AS1	"Attention deficit hyperactivity disorder or cannabis use"	"attention deficit hyperactivity disorder,Cannabis use"	-	GCST006983	1:43705540	30610198	"Soler Artigas M"
rs2782639-G	2E-8	-	NR	1.0752687	-	[1.05-1.1]	PTPRF	"Attention deficit hyperactivity disorder or cannabis use"	"attention deficit hyperactivity disorder,Cannabis use"	-	GCST006983	1:43540668	30610198	"Soler Artigas M"
rs4916723-C	2E-9	-	NR	1.0752687	-	[1.05-1.1]	LINC00461	"Attention deficit hyperactivity disorder or cannabis use"	"attention deficit hyperactivity disorder,Cannabis use"	-	GCST006983	5:88558577	30610198	"Soler Artigas M"
rs4259397-G	5E-8	-	NR	1.0752687	-	[1.04-1.1]	-	"Attention deficit hyperactivity disorder or cannabis use"	"attention deficit hyperactivity disorder,Cannabis use"	-	GCST006983	8:92354062	30610198	"Soler Artigas M"
rs8039398-C	4E-11	-	NR	1.0752687	-	[1.05-1.1]	SEMA6D	"Attention deficit hyperactivity disorder or cannabis use"	"attention deficit hyperactivity disorder,Cannabis use"	-	GCST006983	15:47438673	30610198	"Soler Artigas M"
rs2391769-G	3E-8	-	NR	1.0638298	-	[1.04-1.09]	RN7SL831P,EEF1A1P11	"Attention deficit hyperactivity disorder or cannabis use"	"attention deficit hyperactivity disorder,Cannabis use"	-	GCST006983	1:96513405	30610198	"Soler Artigas M"
